0.00000000e+000	6.17916757e-001	
1.33422282e-001	6.17916376e-001
2.66844563e-001	6.17915996e-001
4.00266845e-001	6.17915616e-001
5.33689126e-001	6.17915235e-001
6.67111408e-001	6.17914855e-001
8.00533689e-001	6.17914475e-001
9.33955971e-001	6.17914095e-001
1.06737825e+000	6.17913714e-001
1.20080053e+000	6.17913334e-001
1.33422282e+000	6.17912954e-001
1.46764510e+000	6.17912573e-001
1.60106738e+000	6.17912193e-001
1.73448966e+000	6.17911813e-001
1.86791194e+000	6.17911433e-001
2.00133422e+000	6.17911052e-001
2.13475650e+000	6.17910672e-001
2.26817879e+000	6.17910292e-001
2.40160107e+000	6.17909911e-001
2.53502335e+000	6.17909531e-001
2.66844563e+000	6.17909151e-001
2.80186791e+000	6.17908771e-001
2.93529019e+000	6.17908390e-001
3.06871247e+000	6.17908010e-001
3.20213476e+000	6.17907630e-001
3.33555704e+000	6.17907249e-001
3.46897932e+000	6.17906869e-001
3.60240160e+000	6.17906489e-001
3.73582388e+000	6.17906109e-001
3.86924616e+000	6.17905728e-001
4.00266845e+000	6.17905348e-001
4.13609073e+000	6.17904968e-001
4.26951301e+000	6.17904588e-001
4.40293529e+000	6.17904207e-001
4.53635757e+000	6.17903827e-001
4.66977985e+000	6.17903447e-001
4.80320213e+000	6.17903066e-001
4.93662442e+000	6.17902686e-001
5.07004670e+000	6.17902306e-001
5.20346898e+000	6.17901926e-001
5.33689126e+000	6.17901545e-001
5.47031354e+000	6.17901165e-001
5.60373582e+000	6.17900785e-001
5.73715811e+000	6.17900404e-001
5.87058039e+000	6.17900024e-001
6.00400267e+000	6.17899644e-001
6.13742495e+000	6.17899264e-001
6.27084723e+000	6.17898883e-001
6.40426951e+000	6.17898503e-001
6.53769179e+000	6.17898123e-001
6.67111408e+000	6.17897742e-001
6.80453636e+000	6.17897362e-001
6.93795864e+000	6.17896982e-001
7.07138092e+000	6.17896602e-001
7.20480320e+000	6.17896221e-001
7.33822548e+000	6.17895841e-001
7.47164777e+000	6.17895461e-001
7.60507005e+000	6.17895080e-001
7.73849233e+000	6.17894700e-001
7.87191461e+000	6.17894320e-001
8.00533689e+000	6.17893940e-001
8.13875917e+000	6.17893559e-001
8.27218145e+000	6.17893179e-001
8.40560374e+000	6.17892799e-001
8.53902602e+000	6.17892418e-001
8.67244830e+000	6.17892038e-001
8.80587058e+000	6.17891658e-001
8.93929286e+000	6.17891278e-001
9.07271514e+000	6.17890897e-001
9.20613742e+000	6.17890517e-001
9.33955971e+000	6.17890137e-001
9.47298199e+000	6.17889756e-001
9.60640427e+000	6.17889376e-001
9.73982655e+000	6.17888996e-001
9.87324883e+000	6.17888616e-001
1.00066711e+001	6.17888235e-001
1.01400934e+001	6.17887855e-001
1.02735157e+001	6.17887475e-001
1.04069380e+001	6.17887095e-001
1.05403602e+001	6.17886714e-001
1.06737825e+001	6.17886334e-001
1.08072048e+001	6.17885954e-001
1.09406271e+001	6.17885573e-001
1.10740494e+001	6.17885272e-001
1.12074716e+001	6.17885221e-001
1.13408939e+001	6.17885169e-001
1.14743162e+001	6.17885118e-001
1.16077385e+001	6.17885067e-001
1.17411608e+001	6.17885015e-001
1.18745831e+001	6.17884964e-001
1.20080053e+001	6.17884913e-001
1.21414276e+001	6.17884862e-001
1.22748499e+001	6.17884810e-001
1.24082722e+001	6.17884759e-001
1.25416945e+001	6.17884708e-001
1.26751167e+001	6.17884656e-001
1.28085390e+001	6.17884605e-001
1.29419613e+001	6.17884411e-001
1.30753836e+001	6.17884170e-001
1.32088059e+001	6.17883929e-001
1.33422282e+001	6.17883688e-001
1.34756504e+001	6.17883447e-001
1.36090727e+001	6.17883207e-001
1.37424950e+001	6.17882966e-001
1.38759173e+001	6.17882725e-001
1.40093396e+001	6.17882484e-001
1.41427618e+001	6.17882619e-001
1.42761841e+001	6.17883568e-001
1.44096064e+001	6.17884517e-001
1.45430287e+001	6.17885467e-001
1.46764510e+001	6.17886416e-001
1.48098732e+001	6.17887366e-001
1.49432955e+001	6.17888315e-001
1.50767178e+001	6.17889265e-001
1.52101401e+001	6.17890214e-001
1.53435624e+001	6.17891163e-001
1.54769847e+001	6.17892113e-001
1.56104069e+001	6.17893062e-001
1.57438292e+001	6.17894012e-001
1.58772515e+001	6.17894961e-001
1.60106738e+001	6.17895911e-001
1.61440961e+001	6.17896860e-001
1.62775183e+001	6.17897809e-001
1.64109406e+001	6.17898759e-001
1.65443629e+001	6.17899708e-001
1.66777852e+001	6.17900658e-001
1.68112075e+001	6.17901607e-001
1.69446298e+001	6.17902557e-001
1.70780520e+001	6.17903506e-001
1.72114743e+001	6.17904455e-001
1.73448966e+001	6.17905405e-001
1.74783189e+001	6.17906354e-001
1.76117412e+001	6.17907304e-001
1.77451634e+001	6.17908253e-001
1.78785857e+001	6.17909203e-001
1.80120080e+001	6.17910152e-001
1.81454303e+001	6.17911101e-001
1.82788526e+001	6.17912051e-001
1.84122748e+001	6.17913000e-001
1.85456971e+001	6.17913950e-001
1.86791194e+001	6.17914899e-001
1.88125417e+001	6.17915849e-001
1.89459640e+001	6.17916798e-001
1.90793863e+001	6.17917747e-001
1.92128085e+001	6.17918697e-001
1.93462308e+001	6.17919646e-001
1.94796531e+001	6.17920596e-001
1.96130754e+001	6.17921545e-001
1.97464977e+001	6.17922495e-001
1.98799199e+001	6.17923444e-001
2.00133422e+001	6.17924393e-001
2.01467645e+001	6.17925343e-001
2.02801868e+001	6.17926292e-001
2.04136091e+001	6.17927242e-001
2.05470314e+001	6.17928191e-001
